fuelType,rating,renterTripsTaken,reviewCount,location.city,rate.daily,vehicle.make,vehicle.model,vehicle.type
PETROL,5,11,5,Sunshine Coast,93.5,Mercedes-Benz,E-Class,car
PETROL,4.67,11,9,Sunshine Coast,93.5,Mercedes-Benz,E-Class,car
PETROL,5,18,18,Sunshine Coast,100.3,Mercedes-Benz,E-Class,car
PETROL,5,11,9,Sunshine Coast,102,Mercedes-Benz,E-Class,car
PETROL,5,2,2,Sunshine Coast,122.4,Mercedes-Benz,E-Class,car
PETROL,4.96,51,46,Sunshine Coast,287.3,Mercedes-Benz,G-Class,suv
PETROL,5,4,4,Sunshine Coast,306,Mercedes-Benz,G-Class,suv
PETROL,5,3,3,Sunshine Coast,83.3,Mercedes-benz,GLC-Class,suv
PETROL,5,5,3,Sunshine Coast,102,Mercedes-Benz,GLC-Class,suv
PETROL,4.8,7,5,Sunshine Coast,83.3,Mercedes-Benz,M-Class,suv
PETROL,4.77,17,13,Sunshine Coast,161.5,Mercedes-Benz,S-Class,car
ELECTRIC,5,3,3,Yeppoon,156.4,Tesla,Model 3,car
ELECTRIC,5,7,6,Yeppoon,200.6,Tesla,Model 3,car
ELECTRIC,5,1,1,Yeppoon,210.8,Tesla,Model 3,car
ELECTRIC,4.97,85,71,Yeppoon,239.7,Tesla,Model 3,car
ELECTRIC,4.96,25,25,Yeppoon,173.4,Tesla,Model S,car
ELECTRIC,5,10,10,Yeppoon,399.5,Tesla,Model X,suv
PETROL,5,5,5,Yeppoon,151.3,BMW,1 Series,car
PETROL,4.96,31,25,Yeppoon,134.3,BMW,X1,suv
PETROL,4.5,4,2,Yeppoon,340,Land Rover,Range Rover Evoque,suv
PETROL,4.93,30,27,Yeppoon,433.5,Land Rover,Range Rover Velar,suv
PETROL,5,9,8,Yeppoon,110.5,Lexus,ES 350,car
PETROL,5,6,2,Yeppoon,202.3,Lexus,ES 350,car
PETROL,4.79,67,61,Yeppoon,134.3,Mercedes-Benz,C-Class,car
PETROL,5,1,1,Yeppoon,297.5,Mercedes-Benz,C-Class,car
PETROL,4.95,22,22,Yeppoon,122.4,Mercedes-Benz,CLA-Class,car
,,,,,,,,
,,,Rockhampton,34,,,,
,,,Yeppoon,15,,,,
,,,Agnes Water,13,,,,
,,,Gympie,27,,,,
,,,Brisbane,81,,,,
,,,Gladstone,31,,,,
,,,Maryborough,22,,,,
,,,Hervey Bay,14,,,,
,,,Sunshine Coast,58,,,,
,,,Gold Coast,61,,,,
,,,Bundaberg,27,,,,
